Ba_002_1_32	797	"Имала й мама, имала"	Хороводна	Пее се на мегдан	"Имала е мама, имала саме едничка дъщеря"	
Ba_002_1_33	630	Върбанчо Радки думаши	Хороводна (на засевки)	Пее се на засевки	Върбанчо Радки думаше	
Ba_002_1_34	962	"Снощи съ, мамо, събрахми"	Хороводна	*	"Снощи се, мамо, събрахме на Стоянова пологар"	
Ba_002_1_35	676	Иван Найда дума	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	Иван Найда дума: Найдо тънка Найдо	
Ba_002_1_36	667	Алтън бяла Борянчице	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	Алтън бяла Борянчице	
Ba_002_1_37	631	Гено по сглява отива	Хороводна (на засевки)	Пее се на засевки	Гено по сглява отива	
Ba_002_1_38	690	В Атлари село никакво	Хороводна (на засевки в двора)	Пее се на засевки в двора	В Атлари село никакво	
Ba_002_1_39	822	"Събрали ми съ, събрали"	Хороводна (на мегдана)	Пее се на мегдана	"Събрали ми съ, събрали"	
Ba_002_1_40	669	Генчо ша иди на хаджилък	Хороводна	Пее се на засевки вкъщи	Генчо ша иди на хаджилък	
Ba_002_1_41	880	Стоян на Йовка намигна	Хороводна  (хумористична)	Хумористична хороводна	"Стоян на Йовка намигна, на Йовка, на сватята си"	
Ba_002_1_42	793	Де са йе чуло й видяло	Хороводна (на хоро на мегдана)	На хоро на мегдана	Де са е чуло и видяло мома кириля да кара	
Ba_002_1_43	818	"Сдумали ми са, сдумали"	Хороводна (на мегдана)	Пее се на мегдана	"Сдумали ми са, сдумали четири моми и три булки"	
Ba_002_2_01	697	Иван на Донка думаши	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Донки мо, дудум байнова"	
Ba_002_2_02	659	Стояна бида бидили	Хороводна (на засевки)	Пее се на засевки	Стояна бида бидили	
Ba_002_2_03	702	Леля на Станка думаше	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Леля на Станка думаше: Станки мо, мила, леляна"	
Ba_002_2_04	707	Пасъл йе Стоян шилета	Хороводна (на засевки на двора)	Пее се на засевки на двора	Пасъл е Стоян шилета	
Ba_002_2_05	824	"Ходила й Дина, Дино мо"	Хороводна (на мегдана)	Пее се на мегдана	"Ходила е Дина, Дино мо, ходила лапад да бере"	
Ba_002_2_06	820	Стоян мама си думаше	Хороводна (на мегдана)	Пее се на мегдана	"Стоян мама си думаше: Мар мамо, мар мила мамо"	
Ba_002_2_07	809	Мама на Стоян думаше	Хороводна (на хоро на мегдана)	Пее се на мегдана на хоро	"Мама на Стоян думаше: Стояне, сино Стояне, днеска е, сине, Великден"	
Ba_002_2_08	796	Заспала йе Дамяна	Хороводна (на мегдана)	Пее се на мегдана	Заспала е Дамяна на овчарско коляно	
Ba_002_2_09	684	"Тодоро, Тодоро"	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	"Тодоро, Тодоро, кара кавгалийо"	
Ba_002_2_10	698	Иван на Руска думаше	"Хороводна (на засевки на двора, хумористична)"	"Хумористична песен, пее се на засевки на двора"	"Иван на Руска думаше: Попитай, Руске, мама си"	
Ba_002_2_11	819	Стойна леля си думаши	Хороводна (на мегдана)	Пее се на мегдана	"Да знаеш, лельо, да знаеш"	
Ba_002_2_12	766	Табор са табор беряха	Хороводна (пее се по сборове)	Пее се по сборове	"Табор са табор беряха се табор, се бигликчии"	
Ba_002_2_13	709	Провикна са зилен кръвен здравец	Хороводна (на засевки на двора)	Пее се на засевки на двора	Провикна са зелен кръвен здравец: Много здраве на малките моми	
Ba_002_2_14	700	"Калафирьо руян, броян"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Калафирьо руян, бруян, като растеш на планината"	
Ba_002_2_15	672	Жина й мъжа била	"Хороводна (на засевки вкъщи, хумористична)"	"Хумористична, пее се на засевки вкъщи"	Жена е мъжа била с ляскова тояга	
Ba_002_2_16	681	Мари бульо Гаджовице	"Хороводна (на засевки вкъщи, хумористична)"	"Хумористична песен, пее се на засевки вкъщи"	"Мари бульо Гаджовице, била ли си батя Гаджа"	
Ba_002_2_17	862	"Мари Димке, малка моме"	Хороводна (ръченица)	Ръченица	"Мари Димке, малка моме, кога расте, Димке, та порасте"	
Ba_002_2_18	647	Мари бульо Балювице	Хороводна (на засевки)	Пее се на засевки	Мари бульо Балювице	
Ba_002_2_19	806	Мама йе Каля сгодила	Хороводна (на мегдана)	Пее се на мегдана	"Мама йе Каля сгодила, Кальо мо, годеници ле"	
Ba_002_2_20	656	Пустото й турче Алия	Хороводна (на засевка)	Пее се на засевки	"Пустото турче Алия, кога речеше българка"	
